Airline,Departure Date,Time,Price(USD),Origin,Origin Name,Origin Country,Destination,Destination Name,Destination Country
Multiple airlines,2024-01-16,8:10 am  –  10:00 pm+1,373.0,WAW,Okecie,Poland,SIN,Changi,Singapore
Qatar Airways,2024-01-16,3:40 pm  –  2:55 pm+1,562.0,WAW,Okecie,Poland,SIN,Changi,Singapore
Qatar Airways,2024-01-16,3:40 pm  –  9:40 pm+1,562.0,WAW,Okecie,Poland,SIN,Changi,Singapore
"Scandinavian Airlines, Turkish Airlines",2024-01-16,10:05 am  –  5:30 pm+1,577.0,WAW,Okecie,Poland,SIN,Changi,Singapore
"LOT, IndiGo",2024-01-16,3:50 pm  –  5:20 pm+1,592.0,WAW,Okecie,Poland,SIN,Changi,Singapore
"LOT, Air India",2024-01-16,3:50 pm  –  10:00 pm+1,594.0,WAW,Okecie,Poland,SIN,Changi,Singapore
"Lufthansa, Air India",2024-01-16,2:45 pm  –  9:45 pm+1,608.0,WAW,Okecie,Poland,SIN,Changi,Singapore
British Airways,2024-01-16,12:50 pm  –  3:55 pm+1,611.0,WAW,Okecie,Poland,SIN,Changi,Singapore
Qatar Airways,2024-01-16,3:40 pm  –  4:35 pm+1,631.0,WAW,Okecie,Poland,SIN,Changi,Singapore
"SWISS, Turkish Airlines",2024-01-16,2:35 pm  –  5:30 pm+1,635.0,WAW,Okecie,Poland,SIN,Changi,Singapore
Qatar Airways,2024-01-16,3:40 pm  –  6:25 pm+1,639.0,WAW,Okecie,Poland,SIN,Changi,Singapore
Qatar Airways,2024-01-16,3:40 pm  –  6:25 pm+1,639.0,WAW,Okecie,Poland,SIN,Changi,Singapore
"British Airways, Cathay Pacific",2024-01-16,12:50 pm  –  6:20 pm+1,640.0,WAW,Okecie,Poland,SIN,Changi,Singapore
"British Airways, Cathay Pacific",2024-01-16,12:50 pm  –  7:15 pm+1,640.0,WAW,Okecie,Poland,SIN,Changi,Singapore
"Wizz Air, Turkish Airlines",2024-01-16,6:05 am  –  8:50 am+1,664.0,WAW,Okecie,Poland,SIN,Changi,Singapore
Multiple airlines,2024-01-16,8:10 am  –  5:35 am+2,469.0,WAW,Okecie,Poland,MNL,Ninoy Aquino Intl,Philippines
Qatar Airways,2024-01-16,3:40 pm  –  10:10 pm+1,711.0,WAW,Okecie,Poland,MNL,Ninoy Aquino Intl,Philippines
Qatar Airways,2024-01-16,3:40 pm  –  4:30 pm+1,715.0,WAW,Okecie,Poland,MNL,Ninoy Aquino Intl,Philippines
Multiple airlines,2024-01-16,3:50 pm  –  11:25 pm+1,716.0,WAW,Okecie,Poland,MNL,Ninoy Aquino Intl,Philippines
"LOT, China Airlines",2024-01-16,7:20 am  –  3:55 pm+1,734.0,WAW,Okecie,Poland,MNL,Ninoy Aquino Intl,Philippines
"LOT, China Airlines",2024-01-16,7:20 am  –  12:05 pm+1,839.0,WAW,Okecie,Poland,MNL,Ninoy Aquino Intl,Philippines
"LOT, Philippines AirAsia",2024-01-16,11:50 am  –  4:15 pm+1,845.0,WAW,Okecie,Poland,MNL,Ninoy Aquino Intl,Philippines
"LOT, EVA Air",2024-01-16,7:20 am  –  11:45 am+1,847.0,WAW,Okecie,Poland,MNL,Ninoy Aquino Intl,Philippines
"LOT, Cathay Pacific",2024-01-16,7:20 am  –  11:20 am+1,880.0,WAW,Okecie,Poland,MNL,Ninoy Aquino Intl,Philippines
"LOT, Cebu Pacific",2024-01-16,11:50 am  –  1:00 pm+1,894.0,WAW,Okecie,Poland,MNL,Ninoy Aquino Intl,Philippines
"LOT, Turkish Airlines",2024-01-16,7:55 pm  –  10:20 pm+1,915.0,WAW,Okecie,Poland,MNL,Ninoy Aquino Intl,Philippines
"Austrian Airlines, China Airlines",2024-01-16,6:50 am  –  12:05 pm+1,1024.0,WAW,Okecie,Poland,MNL,Ninoy Aquino Intl,Philippines
"flydubai, Emirates",2024-01-16,8:35 pm  –  9:35 pm+1,1189.0,WAW,Okecie,Poland,MNL,Ninoy Aquino Intl,Philippines
"LOT, Etihad Airways",2024-01-16,5:00 pm  –  9:10 pm+1,1233.0,WAW,Okecie,Poland,MNL,Ninoy Aquino Intl,Philippines
KLM,2024-01-16,4:50 pm  –  7:30 pm+1,1245.0,WAW,Okecie,Poland,MNL,Ninoy Aquino Intl,Philippines
"Wizz Air, flynas",2024-01-16,8:10 am  –  1:20 am+1,212.0,WAW,Okecie,Poland,DXB,Dubai International,United Arab Emirates
"Wizz Air, flynas",2024-01-16,8:10 am  –  6:15 am+1,212.0,WAW,Okecie,Poland,DXB,Dubai International,United Arab Emirates
"Wizz Air, flydubai",2024-01-16,8:10 am  –  12:20 am+1,320.0,WAW,Okecie,Poland,DXB,Dubai International,United Arab Emirates
"Wizz Air, flydubai",2024-01-16,8:10 am  –  5:10 am+1,320.0,WAW,Okecie,Poland,DXB,Dubai International,United Arab Emirates
Qatar Airways,2024-01-16,3:40 pm  –  3:50 am+1,331.0,WAW,Okecie,Poland,DXB,Dubai International,United Arab Emirates
Qatar Airways,2024-01-16,3:40 pm  –  10:15 am+1,331.0,WAW,Okecie,Poland,DXB,Dubai International,United Arab Emirates
Qatar Airways,2024-01-16,3:40 pm  –  11:00 am+1,331.0,WAW,Okecie,Poland,DXB,Dubai International,United Arab Emirates
"Wizz Air, SAUDIA",2024-01-16,8:10 am  –  3:00 am+1,332.0,WAW,Okecie,Poland,DXB,Dubai International,United Arab Emirates
"Wizz Air, SunExpress",2024-01-16,8:10 am  –  2:45 am+1,337.0,WAW,Okecie,Poland,DXB,Dubai International,United Arab Emirates
Multiple airlines,2024-01-16,12:50 pm  –  10:40 am+1,365.0,WAW,Okecie,Poland,DXB,Dubai International,United Arab Emirates
"Wizz Air, Pegasus Airlines",2024-01-16,8:10 am  –  2:10 am+1,382.0,WAW,Okecie,Poland,DXB,Dubai International,United Arab Emirates
Multiple airlines,2024-01-16,5:30 pm  –  1:40 pm+1,389.0,WAW,Okecie,Poland,DWC,Al Maktoum Intl Emirates,United Arab Emirates
"Wizz Air, flydubai",2024-01-16,8:10 am  –  6:30 am+1,412.0,WAW,Okecie,Poland,DXB,Dubai International,United Arab Emirates
"LOT, flydubai",2024-01-16,10:55 pm  –  8:55 pm+1,479.0,WAW,Okecie,Poland,DXB,Dubai International,United Arab Emirates
"LOT, flydubai",2024-01-16,7:55 pm  –  7:30 am+1,492.0,WAW,Okecie,Poland,DXB,Dubai International,United Arab Emirates
Bus,2024-01-16,6:30 am  –  1:30 pm,30.0,WAW,Okecie,Poland,BER,Brandenburg,Germany
LOT,2024-01-16,9:15 am  –  10:35 am,217.0,WAW,Okecie,Poland,BER,Brandenburg,Germany
KLM,2024-01-16,12:45 pm  –  5:40 pm,296.0,WAW,Okecie,Poland,BER,Brandenburg,Germany
KLM,2024-01-16,4:50 pm  –  9:55 pm,296.0,WAW,Okecie,Poland,BER,Brandenburg,Germany
SWISS,2024-01-16,2:35 pm  –  6:55 pm,303.0,WAW,Okecie,Poland,BER,Brandenburg,Germany
Lufthansa,2024-01-16,1:25 pm  –  6:10 pm,305.0,WAW,Okecie,Poland,BER,Brandenburg,Germany
Austrian Airlines,2024-01-16,10:10 am  –  2:25 pm,308.0,WAW,Okecie,Poland,BER,Brandenburg,Germany
Austrian Airlines,2024-01-16,10:10 am  –  4:20 pm,308.0,WAW,Okecie,Poland,BER,Brandenburg,Germany
Lufthansa,2024-01-16,2:45 pm  –  7:55 pm,314.0,WAW,Okecie,Poland,BER,Brandenburg,Germany
British Airways,2024-01-16,12:50 pm  –  6:55 pm,346.0,WAW,Okecie,Poland,BER,Brandenburg,Germany
KLM,2024-01-16,4:50 pm  –  9:05 pm,351.0,WAW,Okecie,Poland,BER,Brandenburg,Germany
KLM,2024-01-16,6:05 am  –  11:05 am,351.0,WAW,Okecie,Poland,BER,Brandenburg,Germany
Lufthansa,2024-01-16,6:05 am  –  12:00 pm,365.0,WAW,Okecie,Poland,BER,Brandenburg,Germany
Austrian Airlines,2024-01-16,6:50 am  –  10:35 am,367.0,WAW,Okecie,Poland,BER,Brandenburg,Germany
SWISS,2024-01-16,9:45 am  –  2:05 pm,382.0,WAW,Okecie,Poland,BER,Brandenburg,Germany
FlixBus,2024-01-16,10:45 am  –  7:55 pm,33.0,WAW,Okecie,Poland,PRG,Ruzyne,Czech Republic
Austrian Airlines,2024-01-16,7:25 pm  –  10:40 pm,291.0,WAW,Okecie,Poland,PRG,Ruzyne,Czech Republic
Austrian Airlines,2024-01-16,6:50 am  –  10:30 am,348.0,WAW,Okecie,Poland,PRG,Ruzyne,Czech Republic
KLM,2024-01-16,12:45 pm  –  5:40 pm,374.0,WAW,Okecie,Poland,PRG,Ruzyne,Czech Republic
KLM,2024-01-16,4:50 pm  –  10:15 pm,374.0,WAW,Okecie,Poland,PRG,Ruzyne,Czech Republic
SWISS,2024-01-16,9:45 am  –  1:55 pm,404.0,WAW,Okecie,Poland,PRG,Ruzyne,Czech Republic
LOT,2024-01-16,10:50 am  –  12:10 pm,413.0,WAW,Okecie,Poland,PRG,Ruzyne,Czech Republic
LOT,2024-01-16,8:20 pm  –  9:40 pm,413.0,WAW,Okecie,Poland,PRG,Ruzyne,Czech Republic
LOT,2024-01-16,7:35 am  –  8:55 am,413.0,WAW,Okecie,Poland,PRG,Ruzyne,Czech Republic
LOT,2024-01-16,5:40 pm  –  7:00 pm,413.0,WAW,Okecie,Poland,PRG,Ruzyne,Czech Republic
"Wizz Air, Lufthansa",2024-01-16,8:10 am  –  2:10 pm,422.0,WAW,Okecie,Poland,PRG,Ruzyne,Czech Republic
"LOT, Lufthansa",2024-01-16,7:20 am  –  1:05 pm,575.0,WAW,Okecie,Poland,PRG,Ruzyne,Czech Republic
Lufthansa,2024-01-16,6:55 am  –  1:05 pm,578.0,WAW,Okecie,Poland,PRG,Ruzyne,Czech Republic
"LOT, Lufthansa",2024-01-16,5:00 pm  –  10:35 pm,581.0,WAW,Okecie,Poland,PRG,Ruzyne,Czech Republic
SWISS,2024-01-16,7:40 am  –  1:55 pm,628.0,WAW,Okecie,Poland,PRG,Ruzyne,Czech Republic
Sindbad,2024-01-16,3:15 pm  –  2:30 pm+1,80.0,WAW,Okecie,Poland,FR3147251,,
"Wizz Air, Iberia",2024-01-16,1:35 pm  –  11:45 pm,274.0,WAW,Okecie,Poland,CDG,Charles De Gaulle,France
"Wizz Air, Vueling",2024-01-16,6:05 am  –  12:35 pm,279.0,WAW,Okecie,Poland,ORY,Orly,France
"Wizz Air, Vueling",2024-01-16,6:05 am  –  2:25 pm,279.0,WAW,Okecie,Poland,ORY,Orly,France
"LOT, Lufthansa",2024-01-16,1:15 pm  –  10:15 pm,295.0,WAW,Okecie,Poland,CDG,Charles De Gaulle,France
Lufthansa,2024-01-16,1:25 pm  –  7:15 pm,303.0,WAW,Okecie,Poland,CDG,Charles De Gaulle,France
Lufthansa,2024-01-16,1:25 pm  –  11:00 pm,303.0,WAW,Okecie,Poland,CDG,Charles De Gaulle,France
Austrian Airlines,2024-01-16,10:10 am  –  7:25 pm,306.0,WAW,Okecie,Poland,CDG,Charles De Gaulle,France
"LOT, Vueling",2024-01-16,7:35 am  –  6:30 pm,308.0,WAW,Okecie,Poland,ORY,Orly,France
"Wizz Air, Vueling",2024-01-16,3:50 pm  –  10:10 pm,309.0,WAW,Okecie,Poland,ORY,Orly,France
"British Airways, Vueling",2024-01-16,12:50 pm  –  8:35 pm,310.0,WAW,Okecie,Poland,ORY,Orly,France
Lufthansa,2024-01-16,2:45 pm  –  10:15 pm,312.0,WAW,Okecie,Poland,CDG,Charles De Gaulle,France
KLM,2024-01-16,4:50 pm  –  9:45 pm,315.0,WAW,Okecie,Poland,CDG,Charles De Gaulle,France
KLM,2024-01-16,12:45 pm  –  5:50 pm,315.0,WAW,Okecie,Poland,CDG,Charles De Gaulle,France
KLM,2024-01-16,12:45 pm  –  7:10 pm,315.0,WAW,Okecie,Poland,CDG,Charles De Gaulle,France
Wizz Air,2024-01-16,5:30 pm  –  7:55 pm,110.0,WAW,Okecie,Poland,FCO,Fiumicino,Italy
Wizz Air,2024-01-16,6:05 am  –  8:30 am,139.0,WAW,Okecie,Poland,FCO,Fiumicino,Italy
"LOT, Wizz Air",2024-01-16,10:55 pm  –  7:35 am+1,181.0,WAW,Okecie,Poland,FCO,Fiumicino,Italy
"Wizz Air, Wizz Air Malta",2024-01-16,3:50 pm  –  10:40 pm,194.0,WAW,Okecie,Poland,FCO,Fiumicino,Italy
